GENE,NCBI GeneID
Akr7a5,110198
Akt1,11651
Akt1s1,67605
Akt2,11652
Akt3,23797
Aktip,14339
Alad,17025
Alas1,11655
Alas2,11656
Alcam,11658
Aldh16a1,69748
Aldh18a1,56454
Aldh1a2,19378
Aldh1a7,26358
Aldh1b1,72535
Aldh1l1,107747
Aldh1l2,216188
Aldh2,11669
Aldh3a1,11670
Aldh3a2,11671
Aldh3b1,67689
Aldh4a1,212647
Aldh5a1,214579
Aldh6a1,104776
Aldh7a1,110695
Aldh9a1,56752
Aldoa,11674
Aldoart1,353204
Aldoart2,79459
Aldoc,11676
Alg1,208211
Alg10b,380959
Alg11,207958
Alg12,223774
Alg13,67574
Alg14,66789
Alg2,56737
Alg3,208624
Alg5,66248
Alg6,320438
Alg8,381903
Alg9,102580
Alkbh1,211064
Alkbh2,231642
Alkbh3,69113
Alkbh3os1,70852
Alkbh4,72041
Alkbh5,268420
Alkbh6,233065
Alkbh7,66400
Alms1,236266
Alms1-ps2,623273
Alox12,11684
Alox15,11687
Alox5,11689
Alox5ap,11690
Alox8,11688
Aloxe3,23801
Alpk3,116904
Alpl,11647
Als2,74018
Als2cl,235633
Alx1,216285
Alx3,11694
Alx4,11695
Alyref2,56009
Amacr,17117
Ambra1,228361
Amdhd2,245847
Amer1,72345
Amer2,72125
Amer3,211383
Amfr,23802
Amh,11705
Amhr2,110542
Amigo1,229715
Amigo2,105827
Amigo3,320844
Ammecr1,56068
Ammecr1l,225339
Amn,93835
Amn1,232566
Amot,27494
Amotl1,75723
Amotl2,56332
Ampd2,109674
Ampd3,11717
Amt,434437
Amy1,11722
Amz1,231842
Amz2,13929
Anapc1,17222
Anapc10,68999
Anapc13,69010
Anapc15,75430
Anapc16,52717
Anapc2,99152
Anapc4,52206
Anapc5,59008
Anapc7,56317
Ang,11727
Angel1,68737
Angel2,52477
Angpt1,11600
Angpt2,11601
Angptl2,26360
Angptl4,57875
Angptl6,70726
Angptl8,624219
Ank,11732
Ank1,11733
Ank2,109676
Ank3,11735
Ankfy1,11736
Ankhd1,108857
Ankib1,70797
Ankle1,234396
Ankle2,71782
Ankmy2,217473
Ankra2,68558
Ankrd1,107765
Ankrd10,102334
Ankrd11,77087
Ankrd12,106585
Ankrd13a,68420
Ankrd13b,268445
Ankrd13d,68423
Ankrd16,320816
Ankrd17,81702
Ankrd23,78321
Ankrd26,232339
Ankrd27,245886
Ankrd28,105522
Ankrd29,225187
Ankrd31,625662
Ankrd33b,67434
Ankrd34a,545554
Ankrd35,213121
Ankrd37,654824
Ankrd39,109346
Ankrd40,71452
Ankrd42,73845
Ankrd44,329154
Ankrd45,73844
Ankrd46,68839
Ankrd49,56503
Ankrd50,99696
Ankrd52,237615
Ankrd53,75305
Ankrd54,223690
Ankrd6,140577
Ankrd61,66729
Ankrd63,383787
Ankrd9,74251
Anks1,224650
Anks3,72615
Anks6,75691
Ankzf1,52231
Anln,68743
Ano1,101772
Ano3,228432
Ano4,320091
Ano6,105722
Ano8,382014
Ano9,71345
Anp32a,11737
Anp32b,67628
Anp32e,66471
Anpep,16790
Antkmt,214917
Antxr1,69538
Antxr2,71914
Anxa1,16952
Anxa11,11744
Anxa2,12306
Anxa3,11745
